Text A,Text B,Threshold,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"middlemarch.txt","e0b/e0b-txt/Adams_1984_Dorothea and Miss Brooke in Middlemarch.txt","6","3","27","1793446","56849","[(5804, 6220), (8750, 8850), (8879, 9045), (25118, 25201), (83863, 84012), (116899, 117593), (192296, 192440), (195147, 195587), (195599, 195672), (402603, 402725), (411719, 412176), (449394, 450048), (450129, 450243), (585727, 585788), (1575264, 1575377), (1576339, 1576436), (1638921, 1638975), (1638977, 1639036), (1648981, 1649475), (1649487, 1649703), (1688950, 1689088), (1689906, 1690145), (1690157, 1690306), (1708842, 1708909), (1708998, 1709143), (1709158, 1709341), (1793137, 1793446)]","[(12030, 12446), (12574, 12674), (13282, 13447), (14287, 14370), (15427, 15576), (32025, 32718), (37615, 37760), (38370, 38810), (38822, 38895), (40743, 40864), (45355, 45810), (45989, 46643), (46648, 46762), (47148, 47209), (48206, 48320), (48326, 48423), (48557, 48611), (48633, 48692), (49263, 49754), (49768, 49979), (50887, 51026), (51031, 51269), (51284, 51434), (52743, 52809), (52816, 52959), (52972, 53152), (53924, 54233)]"
"middlemarch.txt","e0b/e0b-txt/Hughes_1978_Self-Suppression & Attachment.txt","6","3","5","1793446","41559","[(248599, 248727), (1608771, 1609218), (1609228, 1609592), (1609601, 1609667), (1609669, 1610045)]","[(6917, 7046), (7304, 7747), (7758, 8120), (8130, 8196), (8720, 9096)]"
"middlemarch.txt","e0b/e0b-txt/Pinney_1966_The Authority of the Past in George Eliot's Novels.txt","6","3","6","1793446","46217","[(213248, 213526), (214133, 214338), (689445, 689490), (1107486, 1107639), (1108013, 1108170), (1236332, 1236593)]","[(23044, 23321), (23326, 23530), (26568, 26613), (30531, 30684), (30717, 30872), (31147, 31408)]"
"middlemarch.txt","e0b/e0b-txt/Johnson_2002_Art for Something's Sake.txt","6","3","1","1793446","10530","[(442242, 442418)]","[(10226, 10402)]"
"middlemarch.txt","e0b/e0b-txt/Downing_1997_The Visual and the Verbal in Middlemarch.txt","6","3","3","1793446","14241","[(1165859, 1165909), (1351853, 1351940), (1360525, 1360581)]","[(10879, 10929), (11840, 11928), (12392, 12448)]"
"middlemarch.txt","e0b/e0b-txt/Hollahan_1974_The Concept of Crisis in Middlemarch.txt","6","3","10","1793446","21062","[(912722, 912772), (1163963, 1164250), (1164263, 1164406), (1562088, 1562183), (1606044, 1606104), (1606115, 1606597), (1606608, 1606772), (1690429, 1690852), (1690861, 1690931), (1717385, 1717437)]","[(2164, 2215), (4463, 4748), (4764, 4907), (6230, 6325), (6763, 6822), (6836, 7317), (7331, 7495), (8215, 8635), (8645, 8715), (20529, 20582)]"
"middlemarch.txt","e0b/e0b-txt/Palmer_2005_Intermental Thought in the Novel.txt","6","3","24","1793446","43135","[(3785, 4019), (4030, 4087), (4097, 4480), (4702, 4811), (4882, 5068), (5808, 5977), (6223, 6425), (6851, 7122), (7133, 7332), (7957, 8124), (8135, 8240), (8434, 8745), (9228, 9470), (9481, 9645), (9652, 9714), (9724, 9786), (10015, 10202), (11866, 11922), (11935, 12166), (12178, 12279), (12289, 12352), (12363, 12415), (12424, 12516), (321956, 322045)]","[(15262, 15504), (15515, 15572), (15582, 15969), (15977, 16086), (16162, 16351), (16372, 16545), (16553, 16758), (16814, 17087), (17097, 17306), (17325, 17497), (17507, 17611), (17625, 17944), (17954, 18209), (18221, 18404), (18412, 18474), (18484, 18546), (18730, 18926), (18968, 19023), (19037, 19272), (19284, 19383), (19393, 19456), (19468, 19524), (19533, 19625), (35126, 35215)]"
"middlemarch.txt","e0b/e0b-txt/HILDICK_1965_The use of Manuscripts and Revisions in the teaching of English Literature.txt","6","3","1","1793446","13664","[(922751, 922791)]","[(8480, 8520)]"
"middlemarch.txt","e0b/e0b-txt/Freeman_1970_George Eliot's Great Poetry.txt","6","3","7","1793446","43845","[(113016, 113245), (113259, 113466), (113470, 113607), (113611, 113789), (113805, 113987), (135108, 135260), (135267, 135403)]","[(40521, 40749), (40765, 40967), (40971, 41109), (41267, 41444), (41460, 41643), (43408, 43560), (43568, 43704)]"
"middlemarch.txt","e0b/e0b-txt/NEALE_1990_Torpedoes, tapirs and tortoises.txt","6","3","16","1793446","20540","[(315582, 315644), (315675, 315743), (315771, 315823), (318648, 318713), (318740, 318801), (321244, 321361), (342795, 342865), (342872, 342939), (343390, 343462), (343934, 344012), (344023, 344114), (344332, 344390), (344397, 344718), (449666, 449763), (449829, 450243), (1309066, 1309167)]","[(1466, 1528), (1533, 1601), (1602, 1654), (2045, 2108), (2109, 2170), (2372, 2490), (3578, 3648), (3652, 3719), (3816, 3888), (4100, 4178), (4186, 4277), (5656, 5714), (5722, 6044), (13374, 13471), (15273, 15686), (19421, 19518)]"
"middlemarch.txt","e0b/e0b-txt/GUTH_1983_PHILIP.txt","6","3","1","1793446","26541","[(1690795, 1690919)]","[(15174, 15296)]"
"middlemarch.txt","e0b/e0b-txt/Bissell_1951_Social Analysis in the Novels of George Eliot.txt","6","3","1","1793446","49131","[(992655, 992777)]","[(45621, 45741)]"
"middlemarch.txt","e0b/e0b-txt/Postlethwaite_1990_When George Eliot Reads Milton.txt","6","3","27","1793446","67658","[(1901, 1964), (560017, 560101), (560365, 560783), (560870, 560949), (601242, 601365), (603697, 603756), (603817, 603894), (907144, 907321), (907337, 907519), (907568, 907832), (909059, 909135), (909181, 909265), (909299, 909487), (909573, 909619), (909890, 909955), (909964, 910105), (912000, 912104), (913338, 913448), (914104, 914190), (915810, 915876), (1020879, 1020964), (1027854, 1028271), (1028324, 1028388), (1046702, 1046924), (1147363, 1147473), (1265084, 1265324), (1783681, 1784053)]","[(2481, 2544), (8271, 8351), (10106, 10525), (10530, 10609), (34997, 35120), (35130, 35189), (35219, 35296), (36570, 36746), (36765, 36948), (37159, 37423), (37532, 37608), (37615, 37700), (37713, 37901), (37908, 37954), (38199, 38264), (38274, 38415), (38946, 39049), (39073, 39181), (39251, 39337), (39813, 39879), (44135, 44220), (44959, 45373), (45378, 45442), (47999, 48219), (48229, 48339), (54217, 54456), (55295, 55665)]"
"middlemarch.txt","e0b/e0b-txt/McKAY_2005_INTERNATIONAL GEORGE ELIOT CONFERENCE AT WARWICK UNIVERSITY, AUGUST 2004.txt","6","3","1","1793446","20726","[(912498, 912563)]","[(4024, 4088)]"
"middlemarch.txt","e0b/e0b-txt/Steiner_1955_A Preface to Middlemarch.txt","6","3","1","1793446","40860","[(1784666, 1784776)]","[(5817, 5927)]"
"middlemarch.txt","e0b/e0b-txt/Schorer_1949_Fiction and the Matrix of Analogy.txt","6","3","10","1793446","49272","[(35321, 35413), (50605, 50693), (175124, 175391), (175402, 175570), (175651, 175786), (176180, 176494), (176501, 176552), (176608, 176850), (531722, 531867), (643986, 644052)]","[(28723, 28815), (32498, 32587), (38054, 38321), (38333, 38501), (38508, 38643), (38651, 38965), (38970, 39021), (39078, 39321), (44426, 44570), (49009, 49075)]"
"middlemarch.txt","e0b/e0b-txt/BRODY_1998_MARY SOMERVILLE'S INFLUENCE ON GEORGE ELIOT.txt","6","3","2","1793446","34785","[(421782, 421857), (1381745, 1382014)]","[(16434, 16509), (18156, 18354)]"
